Regno,Crse/Prog,S,ES,Tutgroup,lab2,,lab4,,h2,,p1,,mid,,final
,,,,,         tutass,,,h1,,lab7,,f1,,lab10,
1117786,3970/6806,2,F,T10-yh,3,3,3,20,6,2.5,19.5,9.5,16,2.5,54
1120310,3970/1061,2,F,T2-no,2.5,1,.,.,.,.,.,.,0.6,.,2
1121651,3970/1061,2,F,T10-yh,2.5,4,2.5,18.5,15,2.5,15.5,15,15,3,63
1124464,3971,2,FS,T6-no,3,4,3,8.5,6.5,1.5,16.5,12,23.5,2.4,68
1125617,3970/1061,2,F,T3-ku,2,2,2,20,10,2.5,16,10,10,2.4,63
1126742,3971,2,FS,T1-yh,2,3,2,17.5,18.5,2,11,.,21,2.5,68
1127293,3971,2,F,T1-yh,2,4,2,17.5,17.5,2.5,14.5,9,26.5,1.5,77
1128052,3971,2,FS,T9-ko,3,4,2,19,17.5,2,15,19,43,2.4,88
1128397,3971,2,FS,T4-ko,3,2,2.5,18,17,3,9,11,36,2.4,76
1129253,3971,2,FS,T9-ko,2.5,5,3,20,7,3,10,19,40,2.4,86
1129547,3971,2,FS,T8-no,2.5,4,2,19,16,2.5,15,15,23,2.4,70
1129768,3971,2,FS,T5-ku,2,2,.,9,.,2.5,5.5,7,28.6,2.4,60
1129997,3971,2,FS,T10-yh,3,4.5,3,19.5,.,2,.,.,19.5,.,64
1131902,3971,2,FS,T9-ko,.,4,3,15,6.5,3,8.5,17,29,2.4,70
1132025,3971,2,FS,T9-ko,3,4,2.5,17,15.5,3,5,18,35,.,80
1132173,3971,2,FS,T4-ko,3,4,2.5,17,.,.,.,.,22,.,56
1132238,3971,2,FS,T9-ko,3,4,3,20,19,3,15,18,40,2.4,89
2103673,6310,0,F,T2-no,.,2,2,8,5,2,3,9,6.5,2.4,50
8111648,3970/1000,2,F,T8-no,2.5,0,1.5,19.5,5.5,1.5,12.5,.,29,2.4,58
8126247,3484,3,F,T9-ko,3,5,3,18,20,3,20,18,24,2.4,79
8130678,3420,1,F,T2-no,3,2,2.5,18.5,18.5,0,13,15,8.2,2.4,32
